dl,fl1,fl2,fl3,kl,layer,optimizer,train_acc,train_loss,val_acc,val_loss,trainable_params
32,16,32,16,5,3,Adam,0.9024878109540176,0.2335673503774243,0.8837209303070825,0.27947167220131164,13794
32,16,32,16,5,1,SGD,0.8632329040906596,0.31178371311500824,0.8582145537129341,0.3163521606852395,8626
32,16,32,16,5,2,SGD,0.8615451931267891,0.3203894917272541,0.8644661166036567,0.3196258580246458,11730
32,16,32,16,5,3,SGD,0.8401675209475691,0.35851402077202144,0.8472118030252621,0.35064299712034425,13794
32,16,32,16,5,1,Nadam,0.9034254281636191,0.22558405478047736,0.8752188047607948,0.33049423069648665,8626
32,16,32,16,5,2,Nadam,0.9015501937518672,0.2303436335615403,0.8797199300421151,0.28447099609445353,11730
32,16,32,16,5,3,Nadam,0.8982372796450545,0.2378573020628384,0.8852213053859511,0.2771514695185249,13794
64,16,32,16,5,1,RMSprop,0.8985498187049864,0.24057891610779306,0.8779694924476177,0.2920891994922034,9234
64,16,32,16,5,2,RMSprop,0.8950493811502921,0.2461202300052029,0.8757189298069575,0.3003143766248903,12850
64,16,32,16,5,3,RMSprop,0.8971121390248287,0.2484895148213125,0.8859714929477427,0.2830465503202793,14402
64,16,32,16,5,1,Adam,0.8992999124965126,0.2325570590347927,0.8864716179640957,0.27880300662314245,9234
64,16,32,16,5,2,Adam,0.9000500062284268,0.23347275423130284,0.8887221806196607,0.26937828212417525,12850
64,16,32,16,5,3,Adam,0.8984248031003875,0.2404065028257721,0.8819704926976802,0.2744148802268383,14402
64,16,32,16,5,1,SGD,0.858607325893385,0.3226659384715973,0.8567141786042557,0.32858396342588264,9234
64,16,32,16,5,2,SGD,0.8542317789500171,0.3341595889989518,0.8592148037605448,0.32938761694278085,12850
64,16,32,16,5,3,SGD,0.8394174271933004,0.3607060328761195,0.845211302885326,0.3468397075711384,14402
64,16,32,16,5,1,Nadam,0.9048631078661316,0.22574053966798985,0.8914728682915787,0.26543129391448445,9234
64,16,32,16,5,2,Nadam,0.9048631078661316,0.22553249454964755,0.8839709928227115,0.2834121597114281,12850
64,16,32,16,5,3,Nadam,0.9015501937816732,0.23174049760315,0.8844711178688742,0.28945747251867143,14402
128,16,32,16,5,1,RMSprop,0.8994874359145881,0.23436067539489275,0.8839709928078066,0.29418047247573303,10450
128,16,32,16,5,2,RMSprop,0.893674209253805,0.24647685873879535,0.8822205551984043,0.28099020065799835,15090
128,16,32,16,5,3,RMSprop,0.9001750218553802,0.2438001773449492,0.8817204301820514,0.3020845247033418,15618
128,16,32,16,5,1,Adam,0.9014251781472684,0.22616432154308275,0.8849712429001321,0.2721744320092424,10450
128,16,32,16,5,2,Adam,0.9031753969246156,0.2291806442433707,0.8862215554633717,0.27484169503649225,15090
128,16,32,16,5,3,Adam,0.9011751468710072,0.2371328786315434,0.8804701176039068,0.2858016702287583,15618
128,16,32,16,5,1,SGD,0.8577947243554456,0.3219797913469901,0.8559639910722738,0.32339340516942,10450
128,16,32,16,5,2,SGD,0.8556069508539556,0.33243119481921657,0.8587146787590968,0.3260216735905187,15090
128,16,32,16,5,3,SGD,0.8448556069285144,0.3559841946752865,0.8494623656659223,0.3356601082256181,15618
128,16,32,16,5,1,Nadam,0.9013001625277666,0.2268660119517563,0.8839709928227115,0.2807749709984039,10450
